emp_no,first_name,last_name,birth_date,title,to_date,from_date
10295,Kristine,Velardi,1953-01-13,Senior Staff,9999-01-01,2000-06-18
10298,Dietrich,DuCasse,1954-07-06,Staff,9999-01-01,1999-04-27
10306,Heng,Kilgour,1953-06-02,Staff,9999-01-01,1993-09-06
10307,Nikolaos,Leaver,1955-07-20,Engineer,9999-01-01,1999-10-16
10325,Arunachalam,Badr,1953-01-12,Senior Staff,9999-01-01,1990-09-20
10326,Masali,Czap,1953-02-13,Staff,9999-01-01,1998-09-02
10328,Serenella,Kawashima,1955-06-28,Engineer,9999-01-01,1998-07-17
10343,Dinah,Syrzycki,1954-11-01,Senior Engineer,9999-01-01,1997-10-03
10347,Pradeep,Kaminger,1953-10-03,Staff,9999-01-01,1998-02-20
10349,Oksana,Brodie,1954-04-29,Senior Staff,9999-01-01,1997-09-27
10353,Phule,Hammerschmidt,1953-01-15,Senior Staff,9999-01-01,1989-08-24
10355,Satyanarayana,Cochrane,1952-12-10,Staff,9999-01-01,1996-01-26
10356,Vasilis,Standera,1952-08-12,Senior Staff,9999-01-01,1995-06-26
10358,Qunsheng,Tagansky,1953-04-08,Technique Leader,9999-01-01,1991-02-19
10364,Nakhoon,Dengi,1954-09-21,Senior Engineer,9999-01-01,1985-11-14
10367,Hyuckchul,Gini,1955-12-24,Senior Staff,9999-01-01,2000-06-23
10372,Anneli,Frijda,1952-04-08,Technique Leader,9999-01-01,1985-07-30
10377,Marl,Grospietsch,1954-08-19,Senior Engineer,9999-01-01,1996-08-24
10387,Parto,Wrigley,1952-11-03,Senior Staff,9999-01-01,1999-01-07
10388,Hironoby,Kaiser,1953-03-29,Staff,9999-01-01,1999-05-28
10389,Make,Peir,1953-03-24,Technique Leader,9999-01-01,1999-05-13
10396,Sibyl,Rahier,1955-08-21,Senior Engineer,9999-01-01,1986-01-11
10397,Irena,Reutenauer,1955-11-11,Technique Leader,9999-01-01,1993-05-21
10402,Volkmar,Ebeling,1953-07-23,Technique Leader,9999-01-01,1987-01-02
10407,Ulf,Siepmann,1955-07-05,Senior Staff,9999-01-01,1999-10-30
10413,Danel,Impagliazzo,1952-05-05,Senior Staff,9999-01-01,1997-12-26
10418,Candida,Porotnikoff,1952-06-29,Staff,9999-01-01,1996-10-04
10422,Greger,Rubsam,1954-06-02,Engineer,9999-01-01,1995-01-03
10426,Arunas,Luce,1955-12-28,Technique Leader,9999-01-01,1985-07-06
10429,Martien,Improta,1952-02-13,Senior Engineer,9999-01-01,1988-09-23
10432,Hisao,Tiemann,1953-11-06,Senior Staff,9999-01-01,1996-08-12
10451,Bodh,Ranta,1952-10-06,Senior Engineer,9999-01-01,1998-03-12
10453,Tsvetan,Matzel,1953-07-19,Senior Staff,9999-01-01,1993-04-02
10463,Ung,Zaiane,1954-05-20,Staff,9999-01-01,1994-02-17
10499,Maik,Luft,1953-10-04,Senior Staff,9999-01-01,2001-07-31
10503,Dannz,Pell,1952-05-17,Engineer,9999-01-01,1997-03-13
10504,Xiong,Varker,1953-04-07,Staff,9999-01-01,1999-10-19
10509,Abdelwaheb,Riesenhuber,1953-10-03,Senior Staff,9999-01-01,1997-10-06
10512,Udi,Gihr,1955-11-16,Senior Staff,9999-01-01,1998-11-28
10517,Tiina,Speek,1953-06-18,Senior Staff,9999-01-01,1990-12-25
10522,Marke,Cesareni,1955-07-24,Senior Staff,9999-01-01,1995-12-12
10529,Ymte,Yetto,1952-11-21,Assistant Engineer,9999-01-01,1997-07-04
10531,Oguz,Gimbel,1954-06-11,Staff,9999-01-01,1995-03-16
10542,Yannis,Couchot,1955-01-05,Senior Engineer,9999-01-01,1992-02-07
10548,Ramalingam,Gunderson,1952-06-12,Senior Staff,9999-01-01,1993-07-04
10552,Kazuhito,Shiratori,1953-03-25,Senior Engineer,9999-01-01,1998-08-31
10568,Gao,Poulakidas,1953-12-02,Staff,9999-01-01,1995-07-08
10586,Kirk,Vuskovic,1954-06-23,Senior Engineer,9999-01-01,2000-02-04
10593,Falguni,Kenevan,1952-07-24,Senior Engineer,9999-01-01,1999-09-12
10596,Sanjit,Coors,1954-01-24,Senior Staff,9999-01-01,2001-05-23
10603,Wayne,Restivo,1955-08-02,Staff,9999-01-01,1995-07-20
10610,Irena,Roccetti,1955-06-24,Engineer,9999-01-01,1997-03-30
10615,Keung,Delgrande,1955-08-30,Senior Staff,9999-01-01,2002-03-10
10624,Sham,Gyorkos,1955-12-19,Technique Leader,9999-01-01,1990-05-07
10630,Bezalel,Katzenelson,1954-08-10,Engineer,9999-01-01,1997-01-13
10631,Inderjeet,Chaudhuri,1955-05-17,Engineer,9999-01-01,1994-10-18
10634,Nahid,Chepyzhov,1954-08-01,Senior Engineer,9999-01-01,2000-11-10
10636,Saeko,Porotnikoff,1955-08-25,Staff,9999-01-01,1996-09-25
10642,Hirochika,Narlikar,1955-12-19,Engineer,9999-01-01,1998-10-05
10653,Otmar,Feinberg,1953-06-16,Senior Engineer,9999-01-01,1987-04-30
10667,Makato,Cusworth,1955-08-05,Senior Staff,9999-01-01,1999-07-28
10671,Parviz,Rebaine,1953-06-12,Senior Staff,9999-01-01,2001-09-13
10676,Valeri,Danley,1953-08-26,Engineer,9999-01-01,1999-09-04
10683,Guiseppe,Stranks,1952-06-18,Senior Engineer,9999-01-01,1997-06-23
10696,Unal,Fendler,1952-03-23,Technique Leader,9999-01-01,1991-09-09
10702,Bader,Szemeredi,1952-11-25,Senior Engineer,9999-01-01,1991-01-14
10712,Uma,Koprowski,1952-04-12,Senior Engineer,9999-01-01,2001-08-18
10726,Zita,Minakawa,1954-01-11,Senior Engineer,9999-01-01,2001-02-24
10734,Sachar,Erdi,1954-07-06,Engineer,9999-01-01,1995-12-19
10741,Sven,Huttel,1954-01-02,Senior Staff,9999-01-01,1997-01-06
10742,Shim,Wiegley,1955-03-13,Technique Leader,9999-01-01,1997-04-03
10750,Roddy,Demeyer,1953-06-14,Technique Leader,9999-01-01,1998-11-06
10767,Monique,Doering,1954-02-28,Staff,9999-01-01,1997-07-15
10778,Selwyn,Merey,1953-03-13,Senior Staff,9999-01-01,1986-07-04
10808,Chenxi,Leijenhorst,1955-09-11,Senior Engineer,9999-01-01,1987-03-07
10811,Ashish,Fortenbacher,1954-06-29,Engineer,9999-01-01,1997-07-08
10813,Shalesh,Shumilov,1954-07-04,Senior Staff,9999-01-01,1990-04-27
10814,Nidapan,Dymetman,1952-09-17,Senior Staff,9999-01-01,1998-07-17
10826,Arnd,Anandan,1952-12-06,Senior Engineer,9999-01-01,1993-01-22
10827,Willard,Danley,1953-09-25,Staff,9999-01-01,1996-11-07
10830,Fen,Fiebach,1954-08-17,Senior Staff,9999-01-01,1997-08-23
10831,Toong,Driscoll,1953-10-11,Technique Leader,9999-01-01,1998-02-22
10833,Krisda,Gecseg,1953-04-12,Technique Leader,9999-01-01,1998-12-23
10835,Tomoyuki,Kermarrec,1952-11-23,Engineer,9999-01-01,1995-08-22
10836,Jianhua,Leivant,1953-07-15,Senior Staff,9999-01-01,1987-08-10
10844,Dipayan,Koprowski,1954-02-03,Engineer,9999-01-01,1997-04-25
10846,Tokuyasu,Serre,1952-06-27,Senior Engineer,9999-01-01,1995-01-17
10847,Theirry,Danley,1952-03-04,Senior Staff,9999-01-01,1992-07-24
10854,Jagoda,Nannarelli,1954-08-11,Engineer,9999-01-01,1998-07-13
10858,Kenroku,Gonthier,1952-10-01,Senior Engineer,9999-01-01,2002-01-01
10871,Aram,Gilg,1952-10-24,Staff,9999-01-01,1999-06-16
10872,Karoline,Speel,1952-02-21,Senior Staff,9999-01-01,1996-09-05
10873,Sukumar,Wegerle,1952-07-09,Staff,9999-01-01,1994-03-23
10878,Lakshmi,Deville,1952-06-13,Staff,9999-01-01,1997-04-25
10879,Muzhong,Chleq,1953-08-18,Senior Engineer,9999-01-01,1985-08-15
10882,Fun,Heuser,1953-11-01,Engineer,9999-01-01,1999-04-29
10883,Shimshon,Champarnaud,1952-07-30,Engineer,9999-01-01,1996-12-28
10885,Rayond,Cronau,1953-05-06,Senior Staff,9999-01-01,1991-08-19
10887,Lunjin,DeMori,1953-01-16,Senior Engineer,9999-01-01,1989-03-17
10900,Ferdinand,Prenel,1955-07-18,Senior Engineer,9999-01-01,1995-09-07
10906,Munehiro,Carrere,1952-02-06,Staff,9999-01-01,1998-10-18
10913,Narain,Thummel,1952-09-03,Staff,9999-01-01,1998-10-25
10920,Ronghao,Narahara,1955-04-08,Senior Staff,9999-01-01,1998-02-23
10924,Hironoby,Atchley,1954-04-27,Senior Staff,9999-01-01,1997-08-14
10927,Gal,Scallan,1953-03-13,Senior Staff,9999-01-01,1993-09-12
10936,Mountaz,Schicker,1953-04-08,Senior Staff,9999-01-01,1996-05-08
10942,Toshimitsu,Larfeldt,1952-08-08,Engineer,9999-01-01,1996-01-21
10944,Remko,Zyda,1952-05-25,Senior Engineer,9999-01-01,1995-09-07
10947,Gor,Usery,1954-09-29,Senior Staff,9999-01-01,2001-11-15
10949,Shigeichiro,Wroclawski,1953-08-14,Senior Staff,9999-01-01,1996-06-28
10956,Arno,Picel,1955-02-02,Engineer,9999-01-01,1995-12-02
10965,Eckart,Braunschweig,1955-07-10,Senior Staff,9999-01-01,1986-07-29
10969,Premal,Noriega,1954-09-05,Senior Engineer,9999-01-01,1994-05-12
10974,Muneo,Papsdorf,1952-03-07,Senior Engineer,9999-01-01,1999-05-17
10986,Masako,Schiper,1954-08-11,Technique Leader,9999-01-01,1985-10-11
10987,Flemming,Baezner,1952-11-26,Engineer,9999-01-01,1997-05-21
10988,Chinya,Deyuan,1955-06-24,Senior Engineer,9999-01-01,1985-06-19
10989,Sumali,Candan,1954-09-08,Senior Staff,9999-01-01,1991-07-20
10990,Shin,Foote,1954-10-22,Technique Leader,9999-01-01,1990-08-06
10996,Matk,Rahimi,1955-02-01,Senior Staff,9999-01-01,1996-02-07
11009,Alper,Axelband,1954-08-30,Senior Staff,9999-01-01,1993-09-09
11012,Taegyun,Speckmann,1953-09-12,Staff,9999-01-01,1996-07-06
11021,Srinidhi,Henders,1954-07-13,Staff,9999-01-01,1998-02-02
11031,Ottavia,Walstra,1954-12-20,Senior Staff,9999-01-01,1993-10-24
11032,Erez,Schaaf,1953-04-19,Staff,9999-01-01,1994-06-06
11037,Lansing,Maliniak,1952-05-22,Senior Engineer,9999-01-01,1995-01-28
11048,Jaques,Demke,1952-10-26,Senior Staff,9999-01-01,1999-05-27
11050,Elvis,Katiyar,1952-09-23,Senior Staff,9999-01-01,1991-05-06
11056,Palash,Speel,1955-10-24,Staff,9999-01-01,1997-07-01
11061,Pintsang,Erni,1954-11-11,Senior Staff,9999-01-01,2002-02-19
11066,Shaz,Langford,1954-11-06,Senior Staff,9999-01-01,1996-04-30
11075,Karsten,Belinskaya,1954-10-28,Senior Engineer,9999-01-01,1998-05-06
11081,Barry,Boyle,1952-06-20,Senior Staff,9999-01-01,1994-06-17
11083,Shimshon,Ducloy,1954-07-09,Senior Staff,9999-01-01,2000-10-04
11084,Greger,Senzako,1955-07-03,Senior Engineer,9999-01-01,1999-05-31
11085,Hailing,Thummel,1953-09-08,Senior Engineer,9999-01-01,1996-02-10
11087,Changho,Jayawardene,1954-05-17,Senior Engineer,9999-01-01,1998-03-18
11089,Conal,Henders,1955-02-18,Senior Staff,9999-01-01,1994-08-13
11091,Souichi,Ramsay,1952-10-10,Engineer,9999-01-01,1999-09-11
11092,Narain,Stamatiou,1954-09-28,Staff,9999-01-01,1999-04-05
11098,Arnd,Covnot,1953-09-11,Engineer,9999-01-01,1997-01-08
11100,Berna,Cochrane,1955-10-14,Senior Staff,9999-01-01,1993-10-13
11111,Udi,Zastre,1954-07-14,Assistant Engineer,9999-01-01,1994-12-25
11112,Boaz,Mukaidono,1954-08-05,Staff,9999-01-01,1995-04-28
11113,Shahab,Peng,1953-04-28,Senior Staff,9999-01-01,1991-11-30
11130,Xinyu,Menhoudj,1953-01-17,Senior Staff,9999-01-01,1997-02-17
11133,Nalini,Azulay,1955-12-13,Technique Leader,9999-01-01,1994-03-06
11134,Sachar,Rajcani,1954-05-15,Senior Engineer,9999-01-01,2002-05-19
11137,Hugh,Luca,1955-03-17,Engineer,9999-01-01,1995-03-16
11143,Yongdong,Rosen,1955-03-06,Engineer,9999-01-01,1996-05-09
11144,Carrsten,Heinisuo,1954-12-07,Senior Staff,9999-01-01,2002-07-19
11147,Ayonca,Nitsch,1955-09-26,Engineer,9999-01-01,1997-12-04
11148,Zhanqiu,Botman,1953-01-23,Senior Staff,9999-01-01,1997-02-08
11170,Minghong,Cannard,1952-05-05,Senior Engineer,9999-01-01,1990-06-20
11174,Akhilish,Milicia,1952-09-14,Engineer,9999-01-01,1999-06-07
11177,Chrisa,dAstous,1954-04-09,Senior Engineer,9999-01-01,1999-09-11
11181,Hausi,Cullers,1952-05-28,Engineer,9999-01-01,1997-11-03
11185,Aloys,Baezner,1954-04-10,Senior Staff,9999-01-01,2000-01-26
11189,Dante,Bodoff,1953-03-07,Senior Staff,9999-01-01,1991-09-07
11192,Apostol,Bahr,1952-09-06,Engineer,9999-01-01,1998-04-07
11197,Tadahiro,Fordan,1955-05-11,Senior Staff,9999-01-01,1989-09-12
11201,Jouko,Masaki,1952-05-20,Staff,9999-01-01,1995-10-31
11204,Diederik,Covnot,1955-12-15,Technique Leader,9999-01-01,1985-09-18
11207,Saeed,Gips,1955-08-14,Engineer,9999-01-01,1999-01-31
11208,Saniya,Valtorta,1952-05-29,Technique Leader,9999-01-01,1994-11-17
11211,Yurij,Rissland,1952-12-11,Senior Engineer,9999-01-01,1985-09-17
11213,Vugranam,Munoz,1955-10-19,Technique Leader,9999-01-01,1999-02-04
11217,Kellie,Mawatari,1954-07-01,Senior Engineer,9999-01-01,1990-03-11
11232,Hidefumi,Crelier,1955-09-03,Senior Staff,9999-01-01,2000-08-01
11243,Udi,Desikan,1955-06-14,Assistant Engineer,9999-01-01,2000-01-20
11251,Bezalel,Chinal,1955-10-16,Senior Staff,9999-01-01,1993-06-15
11254,Danel,Rindone,1954-12-14,Staff,9999-01-01,1998-12-19
11258,Aris,Maccarone,1953-10-12,Senior Staff,9999-01-01,1998-03-28
11267,Shaunak,Zaumen,1955-10-18,Senior Engineer,9999-01-01,1996-04-09
11274,Masanao,Nicolson,1954-09-08,Staff,9999-01-01,1999-12-13
11290,Visit,Dredge,1953-05-07,Engineer,9999-01-01,1999-05-13
11295,Abdelkader,Lanzelotte,1953-02-03,Senior Staff,9999-01-01,1990-05-15
11301,Mingzeng,Oxenboll,1953-08-19,Senior Staff,9999-01-01,1996-05-23
11317,Shigeaki,Hagimont,1954-07-24,Senior Staff,9999-01-01,2000-09-07
11319,Pranas,Marrakchi,1955-06-05,Assistant Engineer,9999-01-01,1998-11-01
11320,Atilio,McAlpine,1954-04-13,Senior Staff,9999-01-01,1998-04-06
11324,Kauko,Billingsley,1953-11-16,Senior Engineer,9999-01-01,1985-08-29
11325,Samphel,Rossi,1952-02-06,Engineer,9999-01-01,1999-01-10
11338,Kwangsub,Hanratty,1954-11-03,Senior Staff,9999-01-01,1998-10-28
11339,Flemming,Massonet,1954-06-05,Senior Engineer,9999-01-01,1989-12-19
11360,Fen,Schach,1953-05-24,Senior Staff,9999-01-01,1997-01-12
11365,Toshimi,Shinomoto,1953-11-17,Engineer,9999-01-01,1997-12-18
11373,Yongmao,Keohane,1953-07-29,Senior Staff,9999-01-01,2000-07-18
11376,Valery,Suomi,1952-03-10,Senior Staff,9999-01-01,1994-03-14
11385,Shiv,Ullian,1952-03-04,Engineer,9999-01-01,1999-08-08
11396,Anneke,Servieres,1955-02-06,Engineer,9999-01-01,1997-02-04
11398,Oscar,Peir,1953-05-30,Senior Staff,9999-01-01,2001-09-07
11401,Huan,Merey,1952-12-20,Staff,9999-01-01,1995-04-15
11404,Bedrich,Borovoy,1954-09-15,Technique Leader,9999-01-01,1990-09-25
11406,Eberhardt,Gini,1955-04-11,Senior Staff,9999-01-01,1996-03-13
11410,Gro,Vendrig,1953-11-27,Engineer,9999-01-01,1999-10-25
11415,Sanjiv,Anido,1953-10-29,Engineer,9999-01-01,1996-12-07
11417,Anneli,Cyne,1954-11-20,Technique Leader,9999-01-01,1992-12-21
11418,Satosi,Cooley,1954-03-21,Senior Staff,9999-01-01,1991-12-30
11420,Tsutomu,Lalonde,1955-04-30,Senior Staff,9999-01-01,1992-01-31
11423,Guangming,Kopetz,1954-09-16,Staff,9999-01-01,1998-10-13
11425,Renee,Crelier,1955-11-20,Senior Engineer,9999-01-01,1990-08-27
11441,Marlo,Aingworth,1954-11-16,Senior Staff,9999-01-01,1987-03-27
11451,Eben,Rajaraman,1955-05-05,Senior Engineer,9999-01-01,1990-05-20
11452,Shigehito,Luby,1953-01-16,Senior Staff,9999-01-01,2001-08-26
11459,Duke,Suomi,1953-10-14,Senior Staff,9999-01-01,1992-05-02
11474,Gennady,Akazan,1953-04-17,Engineer,9999-01-01,1993-12-29
11476,Manton,Yoshizawa,1954-06-20,Staff,9999-01-01,1994-01-15
11479,Shridhar,Pleszkun,1953-12-02,Staff,9999-01-01,1999-02-10
11506,Rance,Picel,1955-06-16,Staff,9999-01-01,1996-04-08
11513,Otmar,Mahnke,1954-07-16,Senior Staff,9999-01-01,1998-08-25
11515,Ulf,Basawa,1955-03-03,Staff,9999-01-01,1998-09-21
11518,Jinxi,Oxman,1953-07-21,Senior Staff,9999-01-01,1999-09-22
11519,Halsur,Chinen,1954-11-26,Senior Staff,9999-01-01,1997-06-12
11524,Xiadong,Standera,1955-10-26,Senior Engineer,9999-01-01,1996-07-05
11527,Alagu,Boyle,1952-02-06,Staff,9999-01-01,1999-01-28
11528,Zito,Dolinsky,1955-04-26,Technique Leader,9999-01-01,1987-06-15
11531,Radhika,Motley,1952-09-08,Technique Leader,9999-01-01,1992-11-04
11533,Vitaly,Lorch,1953-10-30,Technique Leader,9999-01-01,1991-08-20
11537,DAIDA,Pehl,1955-06-29,Senior Staff,9999-01-01,1986-07-06
11554,Subhash,Taubenfeld,1955-05-28,Staff,9999-01-01,1998-07-15
11555,Kotesh,Perfilyeva,1955-08-05,Senior Staff,9999-01-01,1991-10-14
11567,Teiji,Mitzlaff,1954-07-06,Senior Staff,9999-01-01,1996-02-03
11587,Shem,Zambonelli,1954-07-04,Senior Engineer,9999-01-01,1989-04-24
11595,Takanari,Kamber,1953-02-26,Senior Staff,9999-01-01,1992-09-08
11596,Yannik,Gunderson,1952-12-22,Staff,9999-01-01,1995-11-23
11602,Somnath,Malabarba,1953-08-09,Senior Staff,9999-01-01,2001-06-21
11603,Herb,Swen,1954-12-07,Senior Staff,9999-01-01,1994-04-13
11606,Perry,Pepe,1952-11-05,Senior Staff,9999-01-01,1999-09-27
11607,Tomokazu,Foong,1953-12-03,Engineer,9999-01-01,1995-04-19
11615,Shem,Isaak,1955-03-05,Senior Staff,9999-01-01,2000-08-28
11640,Valeri,Coorg,1953-10-06,Senior Engineer,9999-01-01,1988-09-26
11641,Chikako,Rothenberg,1955-10-13,Senior Engineer,9999-01-01,1991-06-18
11644,Sanjit,Zaiane,1952-04-08,Assistant Engineer,9999-01-01,1995-08-09
11646,Lobel,Rubsam,1953-06-22,Engineer,9999-01-01,1999-12-15
11649,Shen,Bernardinello,1954-10-07,Technique Leader,9999-01-01,1992-12-11
11660,Gill,Stenning,1955-07-19,Senior Staff,9999-01-01,1994-11-22
11664,Oksana,Brizzi,1955-08-27,Senior Staff,9999-01-01,1990-09-07
11667,Kristian,Marchegay,1955-05-15,Senior Staff,9999-01-01,1996-09-07
11673,Henk,Felder,1954-12-20,Technique Leader,9999-01-01,1989-06-10
11676,Valeri,Ferriere,1952-04-12,Engineer,9999-01-01,1998-07-15
11684,Oksana,Gide,1953-03-07,Senior Staff,9999-01-01,1995-02-21
11690,Domenick,Raczkowsky,1953-11-10,Staff,9999-01-01,1997-09-23
11693,Hideo,Coorg,1952-02-15,Senior Engineer,9999-01-01,1991-08-24
11696,Dante,Rothe,1954-10-26,Senior Staff,9999-01-01,1994-10-23
11713,Danel,Heusch,1952-02-27,Senior Engineer,9999-01-01,2000-10-03
11732,Sanjoy,Ranft,1955-06-14,Senior Engineer,9999-01-01,1996-12-22
11735,Amalendu,Picci,1955-02-19,Senior Staff,9999-01-01,1997-07-14
11736,Shugo,Uchoa,1953-08-21,Senior Engineer,9999-01-01,1994-03-07
11737,Martina,Garnier,1952-07-17,Assistant Engineer,9999-01-01,1995-07-11
11746,Koichi,Marrakchi,1952-05-22,Senior Staff,9999-01-01,1995-11-18
11748,Lihong,Massonet,1953-03-07,Engineer,9999-01-01,1996-07-24
11751,Jiafu,Emiris,1953-02-02,Senior Staff,9999-01-01,1993-11-03
11756,Abdelwaheb,Vakili,1955-02-24,Engineer,9999-01-01,1999-11-26
11763,Yuriy,Liesche,1953-08-19,Engineer,9999-01-01,1997-04-18
11765,Zorica,Junet,1955-08-17,Senior Staff,9999-01-01,2000-07-03
11769,Chandrasekaran,Lampe,1953-07-17,Senior Staff,9999-01-01,2001-10-22
11772,Gaurav,Penz,1954-06-19,Engineer,9999-01-01,1999-11-07
11774,Aron,Wroclawski,1954-07-11,Engineer,9999-01-01,1998-11-26
11779,Shunichi,Thombley,1952-06-07,Staff,9999-01-01,1996-11-21
11791,Gal,Mamelak,1955-11-07,Senior Engineer,9999-01-01,1994-11-15
11797,Chenxi,Thambidurai,1954-08-12,Senior Staff,9999-01-01,1996-08-30
11801,Tommaso,Dayang,1953-11-22,Senior Staff,9999-01-01,1997-06-12
11807,Chriss,Binding,1955-12-25,Technique Leader,9999-01-01,1992-07-11
11810,Amabile,Bhattacharjee,1952-12-08,Senior Engineer,9999-01-01,1992-01-05
11811,Herb,Boissier,1953-07-05,Senior Staff,9999-01-01,1998-03-28
11817,Niranjan,Markovitch,1955-05-25,Senior Staff,9999-01-01,1993-04-12
11822,Sastry,Madeira,1954-08-30,Staff,9999-01-01,1996-07-07
11823,Weiyi,Iacovou,1954-09-25,Senior Engineer,9999-01-01,1995-10-23
11829,Chaosheng,Pettis,1952-08-01,Assistant Engineer,9999-01-01,1999-10-11
11832,Arto,Zlotek,1952-05-18,Engineer,9999-01-01,1996-02-04
11836,Ortrud,Bakhtari,1952-09-14,Senior Staff,9999-01-01,1989-07-28
11841,Elvia,Bugrara,1955-04-21,Staff,9999-01-01,1996-04-02
11842,Moto,Piazza,1954-03-31,Senior Staff,9999-01-01,1999-12-11
11853,Zeljko,Kusakabe,1952-06-19,Senior Staff,9999-01-01,1996-11-17
11857,Divier,Farrag,1955-12-03,Senior Staff,9999-01-01,1986-08-27
11864,Pradeep,Kriebel,1952-06-14,Staff,9999-01-01,1995-11-02
11868,Kwee,Demke,1954-03-02,Engineer,9999-01-01,1995-04-03
11869,Fumino,Luca,1955-09-14,Engineer,9999-01-01,1996-08-12
11872,Cheong,Riexinger,1953-01-17,Senior Staff,9999-01-01,2002-02-12
11881,Arra,Staelin,1952-08-06,Senior Staff,9999-01-01,1995-04-08
11888,Badri,Azulay,1952-04-05,Senior Staff,9999-01-01,1999-11-28
11894,Mitchel,Validov,1954-12-23,Senior Engineer,9999-01-01,1988-06-22
11896,Shaunak,Benzmuller,1953-06-14,Technique Leader,9999-01-01,1990-07-04
11897,Cordelia,Setlzner,1952-11-23,Senior Staff,9999-01-01,1997-06-16
11906,Hideo,Boguraev,1955-04-26,Engineer,9999-01-01,1999-02-07
11917,Jiakeng,VanScheik,1955-03-26,Engineer,9999-01-01,1997-03-08
11926,Leni,Felcyn,1955-04-06,Engineer,9999-01-01,1998-09-18
11931,Gunilla,Chiodo,1952-10-30,Senior Staff,9999-01-01,2000-01-13
11938,Aruna,Verspoor,1954-01-14,Staff,9999-01-01,1994-07-15
11940,Ult,Anido,1954-06-24,Assistant Engineer,9999-01-01,1996-11-02
11944,Along,Aumann,1952-05-15,Senior Engineer,9999-01-01,1994-12-01
